ID,Player,Team,Position,Year,Week,Home,Atts,Comps,Comp %,Yards,Yards per Att,Yards per Comp,Ints,TDs,Two Pts,Two Pt Atts,Tgt,Rec,Rec %,Yards,Yards per Tgt,Yards per Rec,Yards after Catch,TDs,Two Pts,Carries,Yards,YPC,Yards after Catch,TDs,Two Pts,Fumbles,Fumbles Lost,Fantasy Pts,passingAttsGm,passingCmpsGm,passingCmpPerGm,passingYardsGm,passingIntsGm,passingTDsGm,passingTwoPtsGm,passingTwoPtAttsGm,yardsPerAttGm,yardsPerCmpGm,receivingTargetsGm,receivingReceptionsGm,receivingYardsGm,receivingYardsAfterCatchGm,receivingTDsGm,receivingTwoPtsGm,catchPerGm,yardsPerTarGm,yardsPerCatGm,rushingAttemptsGm,rushingYardsGm,rushingYardsAfterContactGm,rushingTDsGm,rushingTwoPtsGm,yardsPerCarryGm,fumblesGm,fumblesLostGm,fantasyPtsGmattemptsTot,completionsTot,pYardsTot,interceptionsTot,pTdsTot,pTwoPtsTot,pTwoPtAttsTot,targetsTot,receptionsTot,rYardsTot,yardsAfterCatchTot,rTdsTot,rTwoPtsTot,carriesTot,ruYardsTot,yardsAfterContactTot,ruTdsTot,ruTwoPtsTot,fumblesTot,fumblesLostTot,fantasyPtsTotal
00-0019596,Tom Brady,NE,QB,2017,1,TRUE,36,16,0,267,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10.68,36,16,2.25,267,0,0,0,0,7.416666667,16.6875,0,0,0,0,0,0,NaN,NaN,NaN,2,0,0,0,0,0,0,0,10.6836.0,16,267,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10.68
00-0020531,Drew Brees,NO,QB,2017,1,FALSE,37,27,0,291,7,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.64,37,27,1.37037037,291,0,1,0,0,7.864864865,10.77777778,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,15.6437.0,27,291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.64
00-0021206,Josh McCown,NYJ,QB,2017,1,FALSE,39,26,0,187,4,7,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,11.48,39,26,1.5,187,2,0,1,0,4.794871795,7.192307692,0,0,0,0,0,0,NaN,NaN,NaN,2,0,0,0,0,0,0,0,11.4839.0,26,187,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,11.48
00-0021429,Carson Palmer,ARI,QB,2017,1,FALSE,48,27,0,269,5,9,3,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,10.96,48,27,1.777777778,269,3,1,1,0,5.604166667,9.962962963,0,0,0,0,0,0,NaN,NaN,NaN,1,2,0,0,0,0.041666667,0,0,10.95999999999999948.0,27,269,3,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,10.96
00-0021547,Antonio Gates,LAC,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,3,2,0,17,5,0,8,0,0,0,0,0,0,0,0,0,0,1.7,0,0,NaN,0,0,0,0,0,NaN,NaN,3,2,17,8,0,0,0.666666667,5.666666667,8.5,0,0,0,0,0,NaN,0,0,1.70000000000000020.0,0,0,0,0,0,0,3,2,17,8,0,0,0,0,0,0,0,0,0,1.7
00-0022127,Jason Witten,DAL,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,9,7,0,59,6,0,12,1,0,0,0,0,0,0,0,0,0,11.9,0,0,NaN,0,0,0,0,0,NaN,NaN,9,7,59,12,1,0,0.777777778,6.555555556,8.428571429,0,0,0,1,0,NaN,0,0,11.90.0,0,0,0,0,0,0,9,7,59,12,1,0,0,0,0,0,0,0,0,11.9
00-0022803,Eli Manning,NYG,QB,2017,1,FALSE,38,29,0,220,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,6.7,38,29,1.310344828,220,1,0,0,0,5.789473684,7.586206897,0,0,0,0,0,0,NaN,NaN,NaN,1,-1,0,0,0,-0.026315789,0,0,6.70000000000000138.0,29,220,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,6.7
00-0022921,Larry Fitzgerald,ARI,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,13,6,0,74,5,0,44,0,0,0,0,0,0,0,0,0,0,7.4,0,0,NaN,0,0,0,0,0,NaN,NaN,13,6,74,44,0,0,0.461538462,5.692307692,12.33333333,0,0,0,0,0,NaN,0,0,7.40.0,0,0,0,0,0,0,13,6,74,44,0,0,0,0,0,0,0,0,0,7.4
00-0022924,Ben Roethlisberger,PIT,QB,2017,1,FALSE,36,24,0,263,7,10,1,2,0,0,0,0,0,0,0,0,0,0,0,3,-8,-2,0,0,0,0,0,15.72,36,24,1.5,263,1,2,0,0,7.305555556,10.95833333,0,0,0,0,0,0,NaN,NaN,NaN,3,-8,0,0,0,-0.222222222,0,0,15.71999999999999936.0,24,263,1,2,0,0,0,0,0,0,0,0,3,-8,0,0,0,0,0,15.72
00-0022942,Philip Rivers,LAC,QB,2017,1,FALSE,33,22,0,192,5,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.68,33,22,1.5,192,1,3,0,0,5.818181818,8.727272727,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,17.6833.0,22,192,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.68
00-0022943,Benjamin Watson,BAL,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0022999,John Kuhn,NO,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0.2,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,1,2,0,0,0,Infinity,0,0,0.20.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.2
00-0023436,Alex Smith,KC,QB,2017,1,FALSE,35,28,0,368,10,13,0,4,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,31.02,35,28,1.25,368,0,4,0,0,10.51428571,13.14285714,0,0,0,0,0,0,NaN,NaN,NaN,5,3,0,0,0,0.085714286,0,0,31.0235.0,28,368,0,4,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,31.02
00-0023459,Aaron Rodgers,GB,QB,2017,1,TRUE,42,28,0,311,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,7,21,3,0,0,0,0,0,16.54,42,28,1.5,311,1,1,0,0,7.404761905,11.10714286,0,0,0,0,0,0,NaN,NaN,NaN,7,21,0,0,0,0.5,0,0,16.5442.0,28,311,1,1,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0,16.54
00-0023500,Frank Gore,IND,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,0,14,0,0,10,42,4,0,0,0,0,0,5.2,0,0,NaN,0,0,0,0,0,NaN,NaN,1,1,10,14,0,0,1,10,10,10,42,0,0,0,Infinity,0,0,5.20.0,0,0,0,0,0,0,1,1,10,14,0,0,10,42,0,0,0,0,0,5.2
00-0023564,Darren Sproles,PHI,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,8,5,0,43,5,0,43,0,0,2,2,1,0,0,0,0,0,4.5,0,0,NaN,0,0,0,0,0,NaN,NaN,8,5,43,43,0,0,0.625,5.375,8.6,2,2,0,0,0,Infinity,0,0,4.50.0,0,0,0,0,0,0,8,5,43,43,0,0,2,2,0,0,0,0,0,4.5
00-0024221,Vernon Davis,WAS,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0024243,Marcedes Lewis,JAX,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,2,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0024334,Brandon Marshall,NYG,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,4,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN,0,0,0,0,0,NaN,NaN,4,1,10,0,0,0,0.25,2.5,10,0,0,0,0,0,NaN,0,0,1.00.0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,0,0,0,1
00-0024389,Delanie Walker,TEN,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,9,7,0,76,8,0,9,0,0,0,0,0,0,0,0,0,0,7.6,0,0,NaN,0,0,0,0,0,NaN,NaN,9,7,76,9,0,0,0.777777778,8.444444444,10.85714286,0,0,0,0,0,NaN,0,0,7.60000000000000050.0,0,0,0,0,0,0,9,7,76,9,0,0,0,0,0,0,0,0,0,7.6
00-0024535,Eric Weems,TEN,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0025394,Adrian Peterson,NO,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,18,3,0,0,0,0,0,1.8,0,0,NaN,0,0,0,0,0,NaN,NaN,1,0,0,0,0,0,0,0,NaN,6,18,0,0,0,Infinity,0,0,1.80.0,0,0,0,0,0,0,1,0,0,0,0,0,6,18,0,0,0,0,0,1.8
00-0025396,Ted Ginn,NO,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,5,4,0,53,10,0,13,0,0,1,5,5,0,0,0,0,0,5.8,0,0,NaN,0,0,0,0,0,NaN,NaN,5,4,53,13,0,0,0.8,10.6,13.25,1,5,0,0,0,Infinity,0,0,5.8000000000000010.0,0,0,0,0,0,0,5,4,53,13,0,0,1,5,0,0,0,0,0,5.8
00-0025399,Marshawn Lynch,OAK,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,2,1,0,16,8,0,18,0,0,18,76,4,0,0,0,0,0,9.2,0,0,NaN,0,0,0,0,0,NaN,NaN,2,1,16,18,0,0,0.5,8,16,18,76,0,0,0,Infinity,0,0,9.2000000000000010.0,0,0,0,0,0,0,2,1,16,18,0,0,18,76,0,0,0,0,0,9.2
